ux,uy
7.161457773204194660e-03,8.622365526049301232e-03
-2.788371022571475150e-02,-8.341029441513211212e-04
-3.264011899920633147e-02,-1.641031070413934872e-04
3.475807041521668250e-02,-2.457726124763804894e-04
-6.953051010247400174e-03,-3.646788849950060186e-03
3.160600747256124554e-02,4.795030181443389432e-04
3.311668758793651079e-02,-1.303273093400836302e-03
-7.369184898884138107e-03,9.265561838056221924e-03
0.000000000000000000e+00,5.860027150568230050e-03
-2.500495120686884246e-02,-1.385582943917326466e-03
-3.501887919766043938e-02,6.095244082613378907e-04
2.753952555708877835e-03,8.161431993119990999e-03
2.157264071587658427e-02,3.324290276876439021e-03
-2.306493922582347408e-02,-1.893581424915258878e-03
4.741229049394995489e-03,-9.795720856347131175e-03
1.447766204165380072e-02,-7.426498920452459171e-03
-1.172939192092799579e-02,8.033635030750791578e-03
1.553622124663016010e-02,-7.332784417169286272e-03
3.527510268145577638e-02,0.000000000000000000e+00
-5.919111091995124529e-03,-6.449892427104193630e-03
-2.427358558177084968e-03,-8.124607462063450705e-03
2.679307617955575815e-02,7.502784433246723842e-04
1.756769278730405462e-02,-5.755326196406665949e-03
-1.342680529292142842e-02,-3.921464657511183026e-03
0.000000000000000000e+00,-8.191226090839637264e-03
-4.385796105211301442e-03,-7.699042406354628457e-03
0.000000000000000000e+00,1.039069236399448037e-02
1.749695955557670907e-02,4.512593019968935866e-03
-1.966853720630261804e-03,-8.025204883286842297e-03
3.555222795245040202e-02,-1.993308173092932733e-04
-1.521067813861312450e-02,4.168824643465178503e-03
1.138599016662366313e-02,-6.587279645836855921e-03
1.980417852671137457e-02,-6.019529437798177944e-03
-3.055703096730884999e-02,0.000000000000000000e+00
-3.167268525412325619e-02,-2.458176100257755074e-04
-1.296342183568185416e-03,-8.623499427391385919e-03
-5.162500402816744792e-03,9.655380988949479465e-03
-1.913273314769394981e-02,-3.010582946619437279e-03
3.280326378937409304e-03,9.923477234269076352e-03
-2.502529431197695123e-02,-1.321093265315472897e-03
